repo,buggy_fix,fix0_file,fix1_file
radare2,0f2952ea080596fc51f484aca4cdc7efb59af59d,oss-fuzz-vulns/vulns/radare2/OSV-2022-1110.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2022-1137.yaml
radare2,6124df443f347d1744a102a58dc3335e85063ea5,oss-fuzz-vulns/vulns/radare2/OSV-2020-315.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2020-160.yaml
radare2,74958b8e88879302d6f61a813943b968cf03dbd5,oss-fuzz-vulns/vulns/radare2/OSV-2020-725.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2020-881.yaml
radare2,a875795bb5d8c216fa17d685b49784c4d5c93f87,oss-fuzz-vulns/vulns/radare2/OSV-2020-455.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2020-377.yaml
radare2,118bf6a693ef0a349959919fd6217e70a26ddf62,oss-fuzz-vulns/vulns/radare2/OSV-2020-440.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2020-694.yaml
radare2,ee9025c9170c15dea5e68d4d5179d41e78868493,oss-fuzz-vulns/vulns/radare2/OSV-2020-7.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2020-1386.yaml
radare2,3b04d3ef4093dafeff72e22589a3598ca0202ac9,oss-fuzz-vulns/vulns/radare2/OSV-2020-881.yaml,oss-fuzz-vulns/vulns/radare2/OSV-2021-1786.yaml
wasm3,8cb2fd424309fa6ff70cf00bfcedc4e66d3355c0,oss-fuzz-vulns/vulns/wasm3/OSV-2021-687.yaml,oss-fuzz-vulns/vulns/wasm3/OSV-2021-701.yaml
pcapplusplus,fbc52d37c6a7e8cc75e4950d2621cbd907c6cf8a,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-772.yaml,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-1807.yaml
pcapplusplus,50aab202d24331ef35b9eff68d96ef9f97baf6a1,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-1310.yaml,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-24.yaml
pcapplusplus,994419f1bcb9151553ad8044e1757a6d406deea3,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-208.yaml,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2020-50.yaml
pcapplusplus,5f1895a7b496fa78a2927bd5fe610ab619a3f49b,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2023-1174.yaml,oss-fuzz-vulns/vulns/pcapplusplus/OSV-2024-343.yaml
cryptofuzz,69c82214652a0a5d2aab9e4ab077a87ffa8057fb,oss-fuzz-vulns/vulns/cryptofuzz/OSV-2020-515.yaml,oss-fuzz-vulns/vulns/cryptofuzz/OSV-2020-1661.yaml
cryptofuzz,c039117fcd5fd56824d2ae329368bd8744ad8743,oss-fuzz-vulns/vulns/cryptofuzz/OSV-2020-1290.yaml,oss-fuzz-vulns/vulns/cryptofuzz/OSV-2020-641.yaml
libvips,43db3985d0c0f0321434f2bd1cda36c7dd4fa1e5,oss-fuzz-vulns/vulns/libvips/OSV-2022-305.yaml,oss-fuzz-vulns/vulns/libvips/OSV-2022-371.yaml
libexif,22799320cc1187868d9a572661d12f0c3f9939b5,oss-fuzz-vulns/vulns/libexif/OSV-2021-1128.yaml,oss-fuzz-vulns/vulns/libexif/OSV-2021-1169.yaml
openexr,236c4b2782d787d56ddc586ed4a313c1d31acd95,oss-fuzz-vulns/vulns/openexr/OSV-2021-1479.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2022-58.yaml
openexr,e598a72aa0166bfab8947eb691ba473a54bfed06,oss-fuzz-vulns/vulns/openexr/OSV-2021-1479.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2022-58.yaml
openexr,5ae1ec0fd948e9e1009093148126636b5bbce4d8,oss-fuzz-vulns/vulns/openexr/OSV-2021-1389.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2021-1429.yaml
openexr,f68dc195ef2079793e2ea68f089adca902f0a4d8,oss-fuzz-vulns/vulns/openexr/OSV-2021-1414.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2021-1415.yaml
openexr,666e2064d10445c501d48544d2d4566c304015c7,oss-fuzz-vulns/vulns/openexr/OSV-2021-1414.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2021-1415.yaml
openexr,672c77d7c923402f549371e08b39ece4552cbb85,oss-fuzz-vulns/vulns/openexr/OSV-2022-313.yaml,oss-fuzz-vulns/vulns/openexr/OSV-2022-413.yaml
ghostscript,a1f3fb482e257c3b52e470146ec4f9abd51e2ddd,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-54.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-121.yaml
ghostscript,6a4847cd2566e8446753fd0ba17fe2f42c6e0315,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1081.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1687.yaml
ghostscript,1a3c64e7a65025ea024bd65cc726b6ec5dd0e172,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1711.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1724.yaml
ghostscript,2be8b436910cfc8b013a13df000c3c854cf3c5c5,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1683.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1752.yaml
ghostscript,82b097fe8e76ea92f69ef483f45c0cf491a98d43,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1690.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1709.yaml
ghostscript,31e249d5cbd561d76dd2149ceee5fe3a2d84d658,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1687.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1719.yaml
ghostscript,87db48b2fc8297a4537907c425a1eda19239888c,oss-fuzz-vulns/vulns/ghostscript/OSV-2024-833.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2024-1059.yaml
ghostscript,0bd6877f480a84657696a80adc13f9c5485dd996,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-237.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-312.yaml
ghostscript,067d47b5efa3631ac58a62916136ad21cd9017df,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1752.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-54.yaml
ghostscript,3eb1eeac22f53b8b332e67d8ba18540f4020eadc,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-736.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-755.yaml
ghostscript,8cfe505e168185fecd1b573711c68252aefb9f77,oss-fuzz-vulns/vulns/ghostscript/OSV-2023-88.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2023-353.yaml
ghostscript,dd15cd3cd5495800de5ca5c8a152147b485e124f,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-496.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-507.yaml
ghostscript,c7cd63be10c23c712921d9ad7359ddbe5d282e44,oss-fuzz-vulns/vulns/ghostscript/OSV-2021-1767.yaml,oss-fuzz-vulns/vulns/ghostscript/OSV-2022-1.yaml
unicorn,34ddafcbcf6d16508a63623a68715394ea4e12d8,oss-fuzz-vulns/vulns/unicorn/OSV-2021-1075.yaml,oss-fuzz-vulns/vulns/unicorn/OSV-2021-1450.yaml
mapserver,c8d59b9251e2977232fec50087288cef188961a3,oss-fuzz-vulns/vulns/mapserver/OSV-2022-1013.yaml,oss-fuzz-vulns/vulns/mapserver/OSV-2022-1052.yaml
jbig2dec,ce3e3aa738f1f5102fea63dfb9de15fea555c559,oss-fuzz-vulns/vulns/jbig2dec/OSV-2020-197.yaml,oss-fuzz-vulns/vulns/jbig2dec/OSV-2020-95.yaml
ntopng,35b09487b9e38f11e5e01fc3cf9eb60b1b493f7c,oss-fuzz-vulns/vulns/ntopng/OSV-2023-1160.yaml,oss-fuzz-vulns/vulns/ntopng/OSV-2023-1381.yaml
openjpeg,cc893a4ebfaf8c42cf1221ac82c83df91e77340b,oss-fuzz-vulns/vulns/openjpeg/OSV-2017-61.yaml,oss-fuzz-vulns/vulns/openjpeg/OSV-2017-22.yaml
qemu,326c9a0eb67672f3d7515fe41e9deaa58fb15227,oss-fuzz-vulns/vulns/qemu/OSV-2020-2101.yaml,oss-fuzz-vulns/vulns/qemu/OSV-2020-2161.yaml
quickjs,7414e5f67f9a404f3cf91ffa69d0c93bf46d099e,oss-fuzz-vulns/vulns/quickjs/OSV-2023-1358.yaml,oss-fuzz-vulns/vulns/quickjs/OSV-2023-1372.yaml
fluent-bit,42b2d0ec7e8139b7e1f5724b18d83c4e7e450e5f,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-222.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-255.yaml
fluent-bit,cee783e53b96e445983a667ba51da087df14e472,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-259.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2022-267.yaml
fluent-bit,8f653c34c0dd46c39e2a5ebf9ff3fe9ec932fc4f,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-838.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-855.yaml
fluent-bit,ed82460da17f5a029df74503d3a5f8f69d29d3ea,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-838.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-855.yaml
fluent-bit,68746b76af8b143daf477033a6799902be2f3cad,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-2159.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-739.yaml
fluent-bit,cadff53c093210404aed01c4cf586adb8caa07af,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-2132.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2020-2148.yaml
fluent-bit,1c3811ba12bf924a96c916e2409a0d41c336debf,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-855.yaml,oss-fuzz-vulns/vulns/fluent-bit/OSV-2021-1633.yaml
